instrument,price,timestamp
DE0005933931,"(15822,2,EUR)",2024-09-19T15:29:29.857Z
IE00BKWQ0F09,"(19476,2,EUR)",2024-09-19T12:30:21.832Z
IE00BKWQ0H23,"(2373,1,EUR)",2024-09-19T14:38:54.540Z
LU1861137484,"(8611,2,EUR)",2024-09-19T15:25:37.173Z
IE000Y77LGG9,"(9525,2,EUR)",2024-09-20T15:09:49.580Z
IE00B1XNHC34,"(7406,3,EUR)",2024-09-20T15:28:11.363Z
IE00B441G979,"(89532,3,EUR)",2024-09-20T15:21:29.122Z
IE00BGV5VN51,"(1179,1,EUR)",2024-09-20T15:27:41.382Z
IE00BYXYX521,"(261199,4,EUR)",2024-09-20T14:02:25.111Z
LU0489337690,"(25475,3,EUR)",2024-09-20T14:27:31.984Z
DE0005933931,"(156,0,EUR)",2024-09-20T15:29:45.900Z
IE00BKWQ0H23,"(23275,2,EUR)",2024-09-20T15:14:01.904Z
IE00BKWQ0F09,"(19174,2,EUR)",2024-09-20T13:36:19.191Z
LU1861137484,"(8474,2,EUR)",2024-09-20T15:25:21.789Z
IE000Y77LGG9,"(9598,2,EUR)",2024-09-23T15:09:26.228Z
IE00B1XNHC34,"(7454,3,EUR)",2024-09-23T15:27:34.687Z
IE00B441G979,"(90022,3,EUR)",2024-09-23T15:02:54.428Z
IE00BGV5VN51,"(11898,2,EUR)",2024-09-23T15:27:14.205Z
IE00BYXYX521,"(265301,4,EUR)",2024-09-23T14:40:34.928Z
LU0489337690,"(25705,3,EUR)",2024-09-23T14:57:19.530Z
DE0005933931,"(1567,1,EUR)",2024-09-23T15:17:35.918Z
IE00BKWQ0F09,"(19398,2,EUR)",2024-09-23T13:36:52.115Z
IE00BKWQ0H23,"(23125,2,EUR)",2024-09-23T15:26:10.979Z
LU1861137484,"(8507,2,EUR)",2024-09-23T15:22:33.170Z
IE000Y77LGG9,"(962,1,EUR)",2024-09-24T14:52:41.235Z
IE00B1XNHC34,"(7528,3,EUR)",2024-09-24T15:29:33.984Z
IE00B441G979,"(90102,3,EUR)",2024-09-24T15:28:40.083Z
IE00BGV5VN51,"(11896,2,EUR)",2024-09-24T15:29:49.556Z
IE00BYXYX521,"(268899,4,EUR)",2024-09-24T15:05:34.138Z
LU0489337690,"(25605,3,EUR)",2024-09-24T14:30:26.176Z
DE0005933931,"(15814,2,EUR)",2024-09-24T15:24:00.390Z
IE00BKWQ0H23,"(2316,1,EUR)",2024-09-24T14:54:18.171Z
IE00BKWQ0F09,"(19594,2,EUR)",2024-09-24T11:22:11.764Z
LU1861137484,"(8561,2,EUR)",2024-09-24T15:28:54.568Z
IE000Y77LGG9,"(9647,2,EUR)",2024-09-25T15:04:08.180Z
IE00B1XNHC34,"(747,2,EUR)",2024-09-25T15:27:19.271Z
IE00B441G979,"(90338,3,EUR)",2024-09-25T14:45:11.894Z
IE00BGV5VN51,"(11946,2,EUR)",2024-09-25T15:28:20.225Z
IE00BYXYX521,"(268599,4,EUR)",2024-09-25T15:09:31.361Z
LU0489337690,"(2545,2,EUR)",2024-09-25T14:10:20.193Z
DE0005933931,"(15754,2,EUR)",2024-09-25T15:21:41.892Z
IE00BKWQ0F09,"(1916,1,EUR)",2024-09-25T13:45:15.216Z
IE00BKWQ0H23,"(2324,1,EUR)",2024-09-25T14:25:12.528Z
LU1861137484,"(8586,2,EUR)",2024-09-25T15:08:43.442Z
IE000Y77LGG9,"(9703,2,EUR)",2024-09-26T15:19:45.097Z
IE00B1XNHC34,"(7515,3,EUR)",2024-09-26T15:29:58.316Z
IE00B441G979,"(9062,2,EUR)",2024-09-26T15:27:32.104Z
IE00BGV5VN51,"(12002,2,EUR)",2024-09-26T15:29:41.242Z
IE00BYXYX521,"(266749,4,EUR)",2024-09-26T13:45:55.065Z
LU0489337690,"(2577,2,EUR)",2024-09-26T15:19:40.196Z
DE0005933931,"(16002,2,EUR)",2024-09-26T15:29:13.617Z
IE00BKWQ0H23,"(23235,2,EUR)",2024-09-26T14:30:55.043Z
IE00BKWQ0F09,"(18438,2,EUR)",2024-09-26T14:19:40.402Z
LU1861137484,"(8699,2,EUR)",2024-09-26T14:37:12.213Z
IE000Y77LGG9,"(9736,2,EUR)",2024-09-27T14:48:18.041Z
IE00B1XNHC34,"(7635,3,EUR)",2024-09-27T15:28:35.463Z
IE00B441G979,"(90856,3,EUR)",2024-09-27T15:11:34.509Z
IE00BGV5VN51,"(1203,1,EUR)",2024-09-27T15:28:51.169Z
IE00BYXYX521,"(266001,4,EUR)",2024-09-27T13:01:09.789Z
LU0489337690,"(26035,3,EUR)",2024-09-27T15:19:08.878Z
DE0005933931,"(1622,1,EUR)",2024-09-27T15:29:19.418Z
IE00BKWQ0F09,"(18634,2,EUR)",2024-09-27T07:19:48.716Z
IE00BKWQ0H23,"(2324,1,EUR)",2024-09-27T15:24:33.967Z
LU1861137484,"(8732,2,EUR)",2024-09-27T15:15:21.954Z
IE000Y77LGG9,"(969,1,EUR)",2024-09-30T15:18:57.018Z
IE00B1XNHC34,"(7604,3,EUR)",2024-09-30T15:29:31.826Z
IE00B441G979,"(9047,2,EUR)",2024-09-30T14:51:13.562Z
IE00BGV5VN51,"(1199,1,EUR)",2024-09-30T15:29:34.520Z
IE00BYXYX521,"(266901,4,EUR)",2024-09-30T13:46:04.838Z
LU0489337690,"(25775,3,EUR)",2024-09-30T14:10:31.848Z
DE0005933931,"(16104,2,EUR)",2024-09-30T15:28:38.964Z
IE00BKWQ0F09,"(18646,2,EUR)",2024-09-30T14:10:39.360Z
IE00BKWQ0H23,"(2305,1,EUR)",2024-09-30T14:44:27.354Z
LU1861137484,"(8655,2,EUR)",2024-09-30T14:49:45.780Z
IE000Y77LGG9,"(9753,2,EUR)",2024-10-01T09:11:24.132Z
IE00B1XNHC34,"(7587,3,EUR)",2024-10-01T09:37:10.977Z
IE00B441G979,"(90736,3,EUR)",2024-10-01T08:41:10.290Z
IE00BGV5VN51,"(12086,2,EUR)",2024-10-01T09:39:28.494Z
IE00BYXYX521,"(268849,4,EUR)",2024-10-01T07:35:57.742Z
LU0489337690,"(26035,3,EUR)",2024-10-01T09:31:52.875Z
DE0005933931,"(16126,2,EUR)",2024-10-01T09:32:07.917Z
IE00BKWQ0F09,"(1858,1,EUR)",2024-10-01T07:35:53.317Z
IE00BKWQ0H23,"(2313,1,EUR)",2024-10-01T09:16:30.205Z
LU1861137484,"(8674,2,EUR)",2024-10-01T09:14:33.629Z
IE000Y77LGG9,"(9753,2,EUR)",2024-10-01T09:11:24.132Z
IE00B1XNHC34,"(7587,3,EUR)",2024-10-01T09:37:10.977Z
IE00B441G979,"(90736,3,EUR)",2024-10-01T08:41:10.290Z
IE00BGV5VN51,"(12086,2,EUR)",2024-10-01T09:39:28.494Z
IE00BYXYX521,"(268849,4,EUR)",2024-10-01T07:35:57.742Z
LU0489337690,"(26035,3,EUR)",2024-10-01T09:31:52.875Z
DE0005933931,"(16126,2,EUR)",2024-10-01T09:32:07.917Z
IE00BKWQ0F09,"(1858,1,EUR)",2024-10-01T07:35:53.317Z
IE00BKWQ0H23,"(2313,1,EUR)",2024-10-01T09:16:30.205Z
LU1861137484,"(8674,2,EUR)",2024-10-01T09:14:33.629Z
IE000Y77LGG9,"(9753,2,EUR)",2024-10-01T09:11:24.132Z
IE00B1XNHC34,"(7587,3,EUR)",2024-10-01T09:37:10.977Z
IE00B441G979,"(90736,3,EUR)",2024-10-01T08:41:10.290Z
IE00BGV5VN51,"(12086,2,EUR)",2024-10-01T09:39:28.494Z
IE00BYXYX521,"(268849,4,EUR)",2024-10-01T07:35:57.742Z
LU0489337690,"(26035,3,EUR)",2024-10-01T09:31:52.875Z
DE0005933931,"(16126,2,EUR)",2024-10-01T09:32:07.917Z
IE00BKWQ0F09,"(1858,1,EUR)",2024-10-01T07:35:53.317Z
IE00BKWQ0H23,"(2313,1,EUR)",2024-10-01T09:16:30.205Z
LU1861137484,"(8674,2,EUR)",2024-10-01T09:14:33.629Z
IE000Y77LGG9,"(974,1,EUR)",2024-10-04T15:07:36.514Z
IE00B1XNHC34,"(745,2,EUR)",2024-10-04T15:21:44.622Z
IE00B441G979,"(90624,3,EUR)",2024-10-04T13:42:40.891Z
IE00BGV5VN51,"(1218,1,EUR)",2024-10-04T15:27:31.954Z
IE00BYXYX521,"(281301,4,EUR)",2024-10-04T13:36:34.474Z
LU0489337690,"(2549,2,EUR)",2024-10-04T15:15:55.461Z
DE0005933931,"(15916,2,EUR)",2024-10-04T15:27:55.656Z
IE00BKWQ0F09,"(19878,2,EUR)",2024-10-04T15:11:21.151Z
IE00BKWQ0H23,"(2278,1,EUR)",2024-10-04T14:58:56.236Z
LU1861137484,"(8542,2,EUR)",2024-10-04T15:27:07.239Z
IE000Y77LGG9,"(9708,2,EUR)",2024-10-07T15:25:29.483Z
IE00B1XNHC34,"(743,2,EUR)",2024-10-07T15:29:05.447Z
IE00B441G979,"(90584,3,EUR)",2024-10-07T14:57:01.372Z
IE00BGV5VN51,"(12256,2,EUR)",2024-10-07T15:27:17.260Z
IE00BYXYX521,"(280699,4,EUR)",2024-10-07T13:47:17.666Z
LU0489337690,"(2513,2,EUR)",2024-10-07T14:59:39.081Z
DE0005933931,"(15902,2,EUR)",2024-10-07T15:28:03.921Z
IE00BKWQ0F09,"(19976,2,EUR)",2024-10-07T13:39:54.996Z
IE00BKWQ0H23,"(22965,2,EUR)",2024-10-07T15:02:25.311Z
LU1861137484,"(8554,2,EUR)",2024-10-07T15:02:07.331Z
