"_metadata_updated_at","surrogate_key","partner_id","instrument","instrument_price","trade_date","cumulative_position","cumulative_position_value"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-28","par_1","DE0005933931","163.660000","2024-11-28","10.503400","1718.986444"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-29","par_1","DE0005933931","163.660000","2024-11-29","10.700320","1751.214371"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-30","par_1","DE0005933931","163.660000","2024-11-30","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-01","par_1","DE0005933931","163.660000","2024-12-01","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-02","par_1","DE0005933931","165.740000","2024-12-02","10.963840","1817.146842"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-03","par_1","DE0005933931","166.720000","2024-12-03","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-04","par_1","DE0005933931","168.260000","2024-12-04","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-05","par_1","DE0005933931","169.480000","2024-12-05","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-06","par_1","DE0005933931","169.600000","2024-12-06","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-07","par_1","DE0005933931","169.600000","2024-12-07","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-08","par_1","DE0005933931","169.600000","2024-12-08","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-09","par_1","DE0005933931","169.600000","2024-12-09","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-10","par_1","DE0005933931","169.600000","2024-12-10","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-11","par_1","DE0005933931","169.940000","2024-12-11","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-12","par_1","DE0005933931","170.020000","2024-12-12","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-13","par_1","DE0005933931","170.020000","2024-12-13","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-14","par_1","DE0005933931","170.020000","2024-12-14","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-15","par_1","DE0005933931","170.020000","2024-12-15","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-16","par_1","DE0005933931","170.020000","2024-12-16","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-17","par_1","DE0005933931","170.020000","2024-12-17","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-18","par_1","DE0005933931","170.020000","2024-12-18","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-19","par_1","DE0005933931","170.020000","2024-12-19","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-20","par_1","DE0005933931","170.020000","2024-12-20","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-21","par_1","DE0005933931","170.020000","2024-12-21","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-22","par_1","DE0005933931","170.020000","2024-12-22","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-23","par_1","DE0005933931","170.020000","2024-12-23","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-24","par_1","DE0005933931","170.020000","2024-12-24","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-25","par_1","DE0005933931","170.020000","2024-12-25","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-26","par_1","DE0005933931","170.020000","2024-12-26","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-27","par_1","DE0005933931","170.020000","2024-12-27","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-28","par_1","DE0005933931","170.020000","2024-12-28","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-29","par_1","DE0005933931","170.020000","2024-12-29","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-30","par_1","DE0005933931","170.020000","2024-12-30","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-12-31","par_1","DE0005933931","170.020000","2024-12-31","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-01","par_1","DE0005933931","170.020000","2025-01-01","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-02","par_1","DE0005933931","170.020000","2025-01-02","11.029660","1875.262793"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-03","par_1","DE0005933931","170.020000","2025-01-03","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-04","par_1","DE0005933931","170.020000","2025-01-04","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-05","par_1","DE0005933931","170.020000","2025-01-05","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-06","par_1","DE0005933931","170.020000","2025-01-06","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2025-01-07","par_1","DE0005933931","170.020000","2025-01-07","0.000000","0.000000"
